ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,BEGIN_MONTH,AGES,WORKING_YEAR,STATUS
5095351,M,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,0,0,0,Other,2,10.0,65,0,C
5067195,M,N,N,1,405000.0,Working,Secondary special,Married,With parents,0,0,0,Drivers,3More,46.0,34,3,X
5022923,F,N,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,0,1,0,Managers,1,52.0,33,7,C
5149197,F,N,Y,0,180000.0,Commercial associate,Incomplete higher,Married,House / apartment,0,0,0,Sales staff,2,14.0,49,13,X
5045397,F,N,Y,1,126000.0,Working,Secondary special,Married,House / apartment,1,1,0,Cleaning staff,3More,10.0,31,3,X
5118481,F,N,Y,0,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,0,0,1,Other,2,40.0,29,4,C
5050963,M,N,N,0,157500.0,Working,Secondary special,Married,House / apartment,0,0,0,Low-skill Laborers,2,40.0,59,14,C
5068155,M,Y,Y,0,180000.0,Working,Secondary special,Married,House / apartment,0,0,0,Other,2,21.0,53,8,C
5068500,M,N,N,1,315000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Other,3More,34.0,50,0,X
5069501,F,N,Y,1,180000.0,Working,Secondary special,Married,House / apartment,0,0,0,High skill tech staff,3More,14.0,26,3,C
5061356,F,N,Y,1,225000.0,Working,Secondary special,Married,House / apartment,0,0,1,Private service staff,3More,43.0,35,1,C
5115724,F,N,Y,0,180000.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,5.0,58,0,0
5022873,F,Y,Y,2More,225000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Private service staff,3More,49.0,38,9,C
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary special,Single / not married,House / apartment,0,1,1,Core staff,1,16.0,49,1,5
5054232,F,N,N,0,90000.0,Working,Secondary special,Married,House / apartment,1,0,0,Other,2,29.0,29,7,X
5067681,F,N,Y,0,90000.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,21.0,59,0,X
5062023,F,N,Y,0,139500.0,Commercial associate,Secondary special,Married,House / apartment,0,1,0,Other,2,39.0,56,15,C
5062410,F,N,Y,0,103500.0,Pensioner,Secondary special,Widow,House / apartment,0,1,0,Other,1,58.0,66,0,C
5041948,F,N,N,0,405000.0,Working,Higher education,Married,House / apartment,1,1,0,Other,2,44.0,29,5,C
5085860,F,N,Y,1,121500.0,State servant,Higher education,Separated,House / apartment,0,1,0,Medicine staff,2,1.0,38,3,0
5022102,F,N,N,0,94500.0,Working,Secondary special,Single / not married,Rented apartment,0,0,0,Security staff,1,43.0,48,7,C
5069198,F,Y,Y,1,225000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Sales staff,3More,25.0,37,8,C
5022328,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Core staff,2,38.0,58,4,C
5046335,F,N,N,0,112500.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Other,2,1.0,65,5,0
5042085,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Accountants,2,48.0,53,4,X
5143553,F,N,Y,0,112500.0,Working,Secondary special,Married,House / apartment,0,1,0,Sales staff,2,31.0,50,5,X
5088657,F,Y,Y,1,157500.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,3More,9.0,45,6,0
5105458,M,N,N,1,202500.0,State servant,Incomplete higher,Married,With parents,0,0,0,Drivers,3More,43.0,33,1,C
5142114,M,Y,Y,1,225000.0,Commercial associate,Secondary special,Single / not married,House / apartment,1,0,0,Laborers,2,20.0,40,14,X
5048045,F,N,Y,0,121500.0,Commercial associate,Higher education,Civil marriage,House / apartment,0,0,0,Accountants,2,35.0,30,0,C
5066895,F,Y,Y,1,157500.0,Pensioner,Higher education,Married,House / apartment,0,0,1,Other,3More,28.0,37,0,C
5078825,F,N,N,0,63000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Core staff,2,24.0,40,5,C
5113368,F,N,Y,1,180000.0,Pensioner,Higher education,Married,House / apartment,0,1,0,Other,3More,24.0,51,0,C
5079062,M,Y,N,0,121500.0,Working,Secondary special,Married,House / apartment,0,1,0,Laborers,2,23.0,40,18,C
5089996,F,N,Y,0,180000.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,26.0,65,0,C
5046190,M,Y,Y,2More,270000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,Managers,3More,41.0,47,1,X
5118439,M,Y,N,1,90000.0,Working,Secondary special,Married,With parents,1,1,0,Core staff,3More,20.0,35,2,C
5142203,M,Y,Y,0,468000.0,State servant,Secondary special,Married,House / apartment,0,0,0,Laborers,2,57.0,40,8,C
5112817,F,N,Y,0,121500.0,Working,Secondary special,Married,House / apartment,0,0,0,Medicine staff,2,27.0,40,16,C
5054357,M,N,N,0,99000.0,State servant,Secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,59.0,60,14,C
5113761,F,Y,Y,1,225000.0,Commercial associate,Secondary special,Married,House / apartment,1,1,0,Other,3More,14.0,30,3,C
5024390,F,N,N,0,117000.0,Working,Secondary special,Married,Municipal apartment,0,0,0,Sales staff,2,57.0,36,3,C
5126583,F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,0,0,0,Other,2,9.0,37,3,X
5136968,M,N,N,0,135000.0,Working,Lower secondary,Civil marriage,House / apartment,0,1,0,Low-skill Laborers,2,1.0,27,9,0
5026714,M,Y,N,2More,247500.0,Working,Secondary special,Married,With parents,0,0,0,Drivers,3More,23.0,33,0,C
5114591,M,N,Y,0,202500.0,Working,Secondary special,Civil marriage,House / apartment,0,0,0,Drivers,2,16.0,29,2,X
5112672,F,N,Y,0,148500.0,Working,Secondary special,Single / not married,House / apartment,0,0,1,High skill tech staff,1,57.0,54,7,C
5116854,F,Y,N,0,112500.0,State servant,Secondary special,Married,House / apartment,0,0,0,Core staff,2,32.0,50,17,0
5097121,M,Y,Y,0,121500.0,Pensioner,Higher education,Married,House / apartment,0,1,0,Other,2,7.0,66,0,C
5085978,F,Y,Y,0,306000.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,2,15.0,37,3,C
5022383,F,N,Y,0,225000.0,Commercial associate,Higher education,Widow,House / apartment,1,1,0,Laborers,1,33.0,59,32,0
5113085,M,N,Y,2More,225000.0,State servant,Higher education,Married,House / apartment,0,1,1,Core staff,3More,58.0,39,21,X
5135541,M,Y,Y,2More,202500.0,Working,Secondary special,Married,Co-op apartment,0,0,0,Managers,3More,2.0,31,7,X
5143050,M,Y,N,2More,360000.0,Working,Secondary special,Married,House / apartment,1,0,0,Drivers,3More,16.0,43,6,C
5053461,M,Y,Y,0,369000.0,Working,Secondary special,Married,House / apartment,0,0,0,Drivers,2,13.0,46,3,0
5050955,M,N,N,0,270000.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,14.0,40,0,0
5087962,M,Y,Y,0,157500.0,Working,Secondary special,Married,House / apartment,0,0,0,Drivers,2,44.0,43,6,X
5046118,F,N,Y,0,135000.0,Working,Secondary special,Married,House / apartment,1,1,0,Managers,2,42.0,55,8,X
5115525,M,Y,Y,0,252000.0,Working,Secondary special,Married,House / apartment,0,1,0,Core staff,2,41.0,59,21,X
5025948,F,N,Y,0,130500.0,Working,Secondary special,Married,House / apartment,0,0,0,Core staff,2,39.0,37,15,X
5137361,M,Y,N,0,135000.0,Working,Secondary special,Married,House / apartment,1,1,0,Drivers,2,23.0,47,10,X
5146445,F,N,Y,0,135000.0,Working,Secondary special,Widow,House / apartment,0,1,0,Managers,1,8.0,39,2,X
5036246,F,N,Y,2More,225000.0,Working,Higher education,Married,Co-op apartment,0,0,0,Laborers,3More,25.0,42,0,X
5095299,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,0,0,0,Core staff,2,26.0,33,10,C
5025880,M,Y,N,0,81000.0,Pensioner,Secondary special,Civil marriage,House / apartment,0,0,0,Other,2,6.0,59,0,0
5068255,M,N,Y,2More,90000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Sales staff,3More,3.0,52,7,0
5148728,F,N,Y,1,157500.0,Working,Secondary special,Separated,Municipal apartment,0,0,0,Sales staff,2,15.0,36,1,C
5145823,M,Y,N,0,135000.0,Working,Secondary special,Married,With parents,0,0,0,Laborers,2,20.0,25,2,C
5061753,F,N,Y,0,135000.0,Pensioner,Secondary special,Married,House / apartment,0,1,0,Other,2,39.0,63,0,C
5008905,F,N,Y,0,297000.0,Commercial associate,Secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1,25.0,42,8,C
5092019,F,N,Y,0,135000.0,Working,Secondary special,Married,House / apartment,1,1,0,Core staff,2,40.0,36,2,C
5146404,M,N,Y,0,211500.0,Working,Secondary special,Single / not married,House / apartment,1,1,0,Core staff,1,6.0,27,3,0
5146260,M,Y,Y,1,135000.0,Working,Secondary special,Married,House / apartment,1,0,0,Security staff,3More,35.0,29,3,C
5023264,M,Y,Y,0,180000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Drivers,2,5.0,58,4,0
5125277,F,N,Y,1,90000.0,Working,Secondary special,Married,House / apartment,0,0,1,Sales staff,3More,53.0,44,10,0
5087824,M,N,Y,2More,112500.0,Working,Secondary special,Married,House / apartment,0,0,0,Security staff,3More,28.0,43,4,X
5149588,F,N,Y,1,90000.0,Working,Secondary special,Married,House / apartment,0,0,1,Medicine staff,3More,51.0,31,5,C
5148648,F,Y,Y,1,202500.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Laborers,3More,40.0,42,6,X
5118222,M,Y,N,0,270000.0,Working,Secondary special,Civil marriage,House / apartment,1,1,0,Drivers,2,26.0,41,1,X
5117196,F,N,Y,0,135000.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,49.0,58,0,0
5135709,F,N,Y,0,67500.0,Pensioner,Secondary special,Single / not married,House / apartment,0,1,0,Other,1,51.0,61,0,C
5114044,F,N,N,0,99000.0,Working,Higher education,Married,House / apartment,0,0,0,Other,2,12.0,40,15,0
5105815,F,N,N,0,202500.0,Pensioner,Secondary special,Married,House / apartment,0,1,0,Other,2,2.0,55,0,0
5052976,M,Y,Y,1,360000.0,Working,Secondary special,Married,House / apartment,0,1,0,Laborers,3More,47.0,45,3,X
5068868,F,Y,Y,0,337500.0,Pensioner,Secondary special,Married,House / apartment,0,0,1,Other,2,35.0,56,0,0
5010822,F,Y,Y,0,270000.0,Working,Secondary special,Married,House / apartment,0,0,0,High skill tech staff,2,26.0,35,4,C
5105254,M,Y,Y,0,81000.0,Working,Secondary special,Married,House / apartment,0,0,0,High skill tech staff,2,19.0,37,3,0
5099983,M,Y,N,0,225000.0,Working,Secondary special,Married,House / apartment,1,1,0,Drivers,2,20.0,36,6,X
5025064,M,N,Y,1,360000.0,State servant,Higher education,Civil marriage,House / apartment,0,0,1,Core staff,3More,22.0,51,19,C
5029562,F,Y,Y,0,202500.0,Working,Secondary special,Single / not married,House / apartment,0,0,0,Laborers,1,35.0,36,7,C
5061390,F,N,Y,0,90000.0,Pensioner,Secondary special,Widow,House / apartment,0,1,0,Other,1,51.0,57,0,C
5022716,M,N,Y,0,157500.0,Working,Secondary special,Married,House / apartment,0,0,0,Security staff,2,41.0,64,7,C
5112708,F,N,Y,0,45000.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,6.0,59,0,C
5021883,F,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,2,15.0,46,3,0
5067432,F,N,Y,0,112500.0,Pensioner,Secondary special,Widow,House / apartment,0,0,0,Other,1,43.0,56,0,C
5067857,F,N,Y,0,112500.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,55.0,63,0,C
5085626,M,N,Y,1,202500.0,Commercial associate,Secondary special,Separated,House / apartment,0,1,0,Core staff,2,34.0,34,1,X
5125269,M,Y,Y,0,157500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,0,0,0,Other,1,43.0,31,1,C
5090650,M,N,Y,0,252000.0,Pensioner,Secondary special,Married,House / apartment,0,0,1,Other,2,15.0,58,0,X
5061171,M,Y,Y,2More,202500.0,Working,Secondary special,Married,House / apartment,0,1,0,Other,3More,28.0,36,10,C
5067193,M,Y,Y,0,180000.0,Working,Lower secondary,Single / not married,House / apartment,0,0,0,Laborers,1,45.0,32,6,0
5149881,F,Y,Y,1,391500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Managers,3More,16.0,47,1,0
5054750,F,N,Y,0,247500.0,Commercial associate,Secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,5.0,48,0,X
5113820,F,Y,N,0,252000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,Managers,1,7.0,24,0,0
5142634,M,Y,N,2More,180000.0,Commercial associate,Secondary special,Married,House / apartment,1,0,0,Laborers,3More,25.0,33,9,0
5097026,M,N,Y,0,315000.0,Working,Incomplete higher,Separated,House / apartment,1,0,0,Laborers,1,41.0,33,5,C
5018492,M,Y,Y,1,675000.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,3More,53.0,44,12,0
5114349,M,Y,N,0,180000.0,Commercial associate,Secondary special,Married,Municipal apartment,1,0,0,Other,2,28.0,26,8,0
5132787,F,N,Y,2More,180000.0,Working,Secondary special,Married,House / apartment,1,0,0,Core staff,3More,18.0,36,18,0
5079261,F,N,Y,0,76500.0,Pensioner,Secondary special,Civil marriage,House / apartment,0,0,0,Other,2,28.0,62,0,X
5036630,M,Y,Y,0,405000.0,Working,Secondary special,Single / not married,House / apartment,0,0,0,Drivers,1,9.0,32,0,X
5114393,F,N,N,0,90000.0,Working,Secondary special,Married,House / apartment,0,0,0,Cooking staff,2,11.0,51,25,C
5114364,F,N,N,0,202500.0,Working,Higher education,Civil marriage,House / apartment,1,1,0,Sales staff,2,17.0,26,3,C
5067168,F,N,N,0,122400.0,Working,Secondary special,Married,House / apartment,1,0,1,Medicine staff,2,22.0,57,3,X
5105431,M,N,Y,2More,112500.0,Working,Secondary special,Civil marriage,House / apartment,0,0,0,Other,3More,1.0,39,6,0
5062086,M,N,Y,0,607500.0,Commercial associate,Secondary special,Married,House / apartment,0,0,1,Managers,2,56.0,53,3,X
5091239,F,Y,N,0,112500.0,Working,Secondary special,Married,House / apartment,0,0,0,Medicine staff,2,33.0,44,4,C
5028866,F,N,Y,2More,135000.0,Working,Secondary special,Married,House / apartment,0,0,0,Sales staff,3More,25.0,41,4,C
5037292,F,N,Y,2More,270000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,Accountants,3More,39.0,41,10,X
5090818,F,N,Y,0,612000.0,State servant,Secondary special,Married,House / apartment,0,0,1,Accountants,2,56.0,34,10,C
5137511,M,Y,N,0,180000.0,Working,Secondary special,Married,House / apartment,1,1,0,Laborers,2,31.0,59,13,X
5050456,M,N,Y,1,231750.0,Working,Secondary special,Married,House / apartment,0,0,0,Other,3More,57.0,39,0,C
5089606,F,N,N,0,112500.0,Commercial associate,Secondary special,Married,House / apartment,1,1,0,Laborers,2,57.0,41,4,C
5036796,M,Y,N,1,225000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Managers,3More,19.0,45,6,C
5046471,M,N,Y,0,180000.0,Working,Secondary special,Married,House / apartment,0,0,0,Laborers,2,14.0,41,14,X
5033608,F,N,N,0,67500.0,Commercial associate,Secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,13.0,52,0,C
5041640,F,N,Y,0,225000.0,Working,Secondary special,Civil marriage,House / apartment,0,1,0,Other,2,13.0,45,15,C
5023061,F,N,Y,0,202500.0,Commercial associate,Secondary special,Separated,House / apartment,0,0,0,Sales staff,1,28.0,46,7,C
5009760,M,Y,N,0,270000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Laborers,1,9.0,24,4,X
5085852,F,N,Y,0,130500.0,State servant,Secondary special,Single / not married,House / apartment,0,0,0,Accountants,1,9.0,23,0,C
5086060,F,N,Y,0,135000.0,State servant,Secondary special,Married,House / apartment,0,1,0,Core staff,2,40.0,56,25,C
5135575,F,Y,Y,0,180000.0,Working,Secondary special,Married,House / apartment,0,0,0,Medicine staff,2,7.0,32,2,0
5136923,F,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,0,1,0,Sales staff,2,20.0,28,1,C
5008884,F,N,Y,0,315000.0,Pensioner,Secondary special,Widow,House / apartment,0,0,0,Other,1,40.0,55,0,C
5008870,F,N,Y,1,211500.0,State servant,Secondary special,Civil marriage,House / apartment,0,0,0,Core staff,3More,20.0,44,19,0
5094920,F,Y,Y,0,135000.0,Commercial associate,Secondary special,Married,House / apartment,1,0,0,Core staff,2,20.0,33,4,C
5067438,F,N,Y,0,112500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,Other,2,25.0,60,0,C
5089193,F,N,N,0,94500.0,Pensioner,Higher education,Married,House / apartment,0,1,0,Other,2,42.0,58,0,C
5104957,M,Y,Y,0,180000.0,Working,Secondary special,Married,House / apartment,0,0,0,Drivers,2,21.0,59,6,0
5010362,M,Y,N,0,90000.0,Commercial associate,Secondary special,Single / not married,House / apartment,1,1,0,Drivers,1,23.0,33,5,C
5135822,F,N,Y,0,90000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Laborers,2,31.0,53,7,C
5028391,F,N,N,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,0,0,0,Other,2,46.0,38,12,C
5117030,F,N,Y,0,270000.0,Working,Secondary special,Civil marriage,House / apartment,1,1,0,Drivers,2,56.0,36,10,C
5113895,M,Y,N,0,162000.0,Working,Secondary special,Married,House / apartment,1,0,1,Security staff,2,24.0,52,11,0
5115989,M,Y,Y,2More,180000.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,3More,26.0,36,6,C
5116021,F,Y,Y,0,450000.0,Pensioner,Higher education,Widow,House / apartment,0,1,0,Other,1,8.0,60,0,0
5090027,F,N,Y,0,126000.0,Working,Higher education,Married,House / apartment,0,1,1,Core staff,2,41.0,27,1,C
5111098,F,Y,Y,2More,67500.0,Working,Higher education,Married,Municipal apartment,0,0,0,Secretaries,3More,14.0,33,8,C
5023544,F,N,Y,0,90000.0,State servant,Secondary special,Civil marriage,House / apartment,1,1,0,Core staff,2,26.0,43,10,X
5067222,F,Y,Y,0,391500.0,Working,Secondary special,Married,House / apartment,0,0,0,Core staff,2,23.0,46,19,X
5125325,M,Y,N,0,292500.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Other,2,9.0,57,7,C
5091386,M,Y,Y,0,337500.0,Working,Secondary special,Married,House / apartment,0,0,0,Other,2,7.0,42,15,0
5045454,F,Y,Y,0,247500.0,Working,Secondary special,Single / not married,House / apartment,0,0,0,Laborers,1,16.0,52,15,0
5066484,F,Y,Y,1,166500.0,Working,Secondary special,Married,House / apartment,0,0,1,Medicine staff,3More,23.0,37,10,0
5078821,F,N,N,0,63000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Core staff,2,25.0,40,5,C
5090474,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,0,0,0,Core staff,2,25.0,59,28,X
5105439,F,Y,Y,0,157500.0,Working,Secondary special,Married,House / apartment,0,0,0,Other,2,22.0,28,2,C
5148943,M,N,Y,0,112500.0,Working,Secondary special,Married,House / apartment,0,0,0,Laborers,2,14.0,43,9,C
5118287,F,N,N,0,360000.0,Working,Higher education,Married,House / apartment,0,1,0,Core staff,2,54.0,46,17,C
5028776,F,N,Y,0,247500.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,32.0,63,0,C
5067775,F,Y,Y,1,225000.0,Commercial associate,Higher education,Separated,House / apartment,0,0,1,Laborers,2,17.0,42,0,X
5046533,M,Y,N,0,202500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,Other,2,42.0,55,0,C
5115689,F,Y,Y,0,180000.0,Working,Higher education,Married,House / apartment,0,1,0,Drivers,2,30.0,42,6,C
5009607,F,N,N,2More,144000.0,Working,Secondary special,Married,House / apartment,1,1,0,High skill tech staff,3More,23.0,33,2,C
5024895,F,Y,Y,2More,126000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Laborers,3More,54.0,33,3,X
5067464,F,N,Y,1,247500.0,Commercial associate,Secondary special,Civil marriage,House / apartment,0,0,1,Laborers,3More,9.0,31,4,X
5125503,F,N,Y,0,121500.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,15.0,57,0,X
5112955,F,N,N,0,135000.0,Pensioner,Secondary special,Married,Municipal apartment,0,0,0,Other,2,5.0,66,0,C
5068680,M,Y,Y,1,198000.0,Working,Secondary special,Married,House / apartment,1,1,0,Drivers,3More,29.0,42,9,C
5046283,F,N,Y,0,67050.0,Pensioner,Higher education,Married,House / apartment,0,0,0,Other,2,34.0,66,0,C
5105584,F,N,N,0,171000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Private service staff,2,26.0,27,2,X
5038735,F,N,N,0,121500.0,Pensioner,Secondary special,Separated,House / apartment,0,0,0,Other,1,14.0,64,0,0
5139457,F,N,Y,0,180000.0,Pensioner,Secondary special,Married,House / apartment,0,1,0,Other,2,34.0,63,0,0
5062356,F,N,Y,0,270000.0,Pensioner,Higher education,Married,House / apartment,0,0,0,Other,2,24.0,57,0,C
5044535,F,N,Y,0,117000.0,Pensioner,Secondary special,Married,House / apartment,0,1,0,Other,2,1.0,66,0,0
5149138,M,Y,Y,0,247500.0,Working,Secondary special,Married,House / apartment,1,0,0,Laborers,2,32.0,30,9,X
5125909,F,N,N,0,135000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Sales staff,2,9.0,36,10,X
5125346,F,N,Y,0,247500.0,Pensioner,Secondary special,Widow,House / apartment,0,0,0,Other,1,1.0,61,0,0
5095605,M,N,N,1,202500.0,Working,Secondary special,Married,House / apartment,0,0,0,Other,3More,40.0,28,1,C
5111204,F,Y,Y,0,180000.0,Working,Secondary special,Married,House / apartment,0,0,0,Sales staff,2,8.0,47,7,0
5088320,F,N,N,0,207000.0,Working,Secondary special,Married,House / apartment,0,0,0,Other,2,25.0,40,13,X
5099844,F,N,Y,2More,112500.0,Working,Higher education,Married,House / apartment,1,1,1,Core staff,3More,6.0,40,5,C
5088319,F,N,N,0,207000.0,Working,Secondary special,Married,House / apartment,0,0,0,Other,2,41.0,40,13,X
5010253,F,Y,Y,0,247500.0,State servant,Secondary special,Married,House / apartment,0,0,0,Managers,2,30.0,54,22,C
5090617,M,Y,Y,2More,157500.0,Working,Secondary special,Married,House / apartment,0,0,0,Drivers,3More,6.0,41,1,0
5033847,F,N,N,2More,225000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,High skill tech staff,3More,23.0,39,13,C
5149695,F,N,N,0,157500.0,Working,Incomplete higher,Married,With parents,0,0,0,Core staff,2,18.0,38,17,C
5149589,F,N,Y,1,90000.0,Working,Secondary special,Married,House / apartment,0,0,1,Medicine staff,3More,43.0,31,5,C
5078798,F,N,Y,0,274500.0,Working,Higher education,Civil marriage,House / apartment,1,0,0,Other,2,42.0,54,1,C
5018459,F,N,Y,0,101250.0,Pensioner,Secondary special,Widow,House / apartment,0,1,0,Other,1,1.0,60,0,X
5061645,F,N,Y,0,225000.0,Pensioner,Secondary special,Married,Municipal apartment,0,1,0,Other,2,29.0,59,0,C
5010715,F,N,Y,0,135000.0,Working,Secondary special,Married,House / apartment,0,0,1,High skill tech staff,2,33.0,58,2,C
5053473,F,N,Y,0,351000.0,Pensioner,Secondary special,Single / not married,House / apartment,0,0,0,Other,1,59.0,56,0,C
5045688,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,1,1,0,Laborers,1,25.0,37,10,C
5008880,F,N,Y,2More,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,3More,10.0,34,4,C
